,Inches,CPU_Frequency (GHz),RAM (GB),Weight (kg),Price (SAR),Company_Encoded,Base_Product_Encoded,TypeName_Encoded,Resolution_Width,Resolution_Height,Pixel_Area,IPS_Panel,Retina_Display,Touchscreen,CPU_Company_Intel,CPU_Company_Samsung,CPU_Family_Grouped_A6,CPU_Family_Grouped_A9,CPU_Family_Grouped_Celeron,CPU_Family_Grouped_Core M,CPU_Family_Grouped_Core i3,CPU_Family_Grouped_Core i5,CPU_Family_Grouped_Core i7,CPU_Family_Grouped_Other,CPU_Family_Grouped_Pentium,Primary_Storage_Capacity,Secondary_Storage_Capacity,Total_Storage_GB,Primary_Storage_Type_HDD,Primary_Storage_Type_Hybrid,Primary_Storage_Type_SSD,GPU_Company_Grouped_Intel,GPU_Company_Grouped_Nvidia,GPU_Company_Grouped_Other,GPU_Company_Encoded,GPU_Series_Frequency,OpSys_Encoded
77,15.6,1.8,8,2.02,3394.3500000000004,4760.9237274914085,135,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,131072.0,0.0,131072.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
78,15.6,2.7,4,2.2,2104.1,2514.853888118812,61,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,True,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,21,4687.31573759542
79,17.3,1.6,8,2.5,3878.69,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,131072.0,0.0,131072.0,False,False,True,False,True,False,5942.078051010101,131,4687.31573759542
80,15.6,1.6,8,1.88,4351.7552000000005,4760.9237274914085,52,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
81,12.0,1.3,8,0.92,5994.700000000001,5703.702308333333,21,3,2304,1440,3317760,1,1,0,True,False,False,False,False,False,False,True,False,False,False,512.0,0.0,512.0,False,False,True,True,False,False,4050.8598208806816,621,6209.868328571429
82,14.0,1.6,8,1.63,3414.2000000000003,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
83,15.6,2.5,4,2.2,1584.03,4342.632991695502,99,2,1920,1080,2073600,0,0,0,False,False,True,False,False,False,False,False,False,False,False,128.0,0.0,128.0,False,False,True,False,False,False,3088.7654103448276,131,4687.31573759542
84,15.6,3.0,4,2.1,1568.15,2514.853888118812,61,2,1366,768,1049088,0,0,0,False,False,False,True,False,False,False,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
85,15.6,2.8,16,2.65,5355.530000000001,4760.9237274914085,135,5,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,131072.0,0.0,131072.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
86,15.6,1.8,8,1.83,2775.03,4288.849216791045,9,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
87,15.6,2.5,8,1.96,2377.9903,4288.849216791045,25,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
88,15.6,2.8,16,2.2,5752.530000000001,4461.6040552631575,1,5,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,131072.0,0.0,131072.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
89,13.3,1.8,8,1.21,6546.530000000001,4760.9237274914085,39,3,1920,1080,2073600,1,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
90,15.6,3.0,8,2.45,2775.03,4461.6040552631575,1,5,1920,1080,2073600,0,0,0,False,False,False,False,False,False,False,False,False,False,False,1024.0,0.0,1024.0,True,False,False,False,False,False,3088.7654103448276,167,4687.31573759542
91,15.6,1.8,8,2.2,2735.33,2514.853888118812,61,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,1024.0,0.0,1024.0,True,False,False,False,True,False,5942.078051010101,21,4687.31573759542
92,13.3,1.8,16,1.49,4752.09,4288.849216791045,72,2,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,512.0,0.0,512.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
93,15.6,2.5,8,2.65,4744.150000000001,4760.9237274914085,135,5,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,False,True,False,5942.078051010101,236,4687.31573759542
94,14.0,2.7,8,1.25,4164.530000000001,4461.6040552631575,25,3,1920,1080,2073600,0,0,0,True,False,False,False,False,False,False,False,True,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,621,4687.31573759542
95,13.3,1.6,8,1.5,3362.59,2514.853888118812,4,4,1920,1080,2073600,1,0,1,True,False,False,False,False,False,False,True,False,False,False,256.0,0.0,256.0,False,False,True,True,False,False,4050.8598208806816,68,4687.31573759542
